dates I C D F E HC HS HP HB IC IS IB
1 2020/03/18 0 0 0 0 0 0 0 0 0 0 0 0
2 2020/03/19 0 0 0 0 0 0 0 0 0 0 0 0
3 2020/03/20 0 0 0 0 0 0 0 0 0 0 0 0
4 2020/03/21 0 0 0 0 0 0 0 0 0 0 0 0
5 2020/03/22 0 0 0 0 0 0 0 0 0 0 0 0
6 2020/03/23 0 0 0 0 0 0 0 0 0 0 0 0
7 2020/03/24 0 0 0 0 0 0 0 0 0 0 0 0
8 2020/03/25 0 0 0 0 0 0 0 0 0 0 0 0
9 2020/03/26 0 0 0 0 0 0 0 0 0 0 0 0
10 2020/03/27 0 0 0 0 0 0 0 0 0 0 0 0
11 2020/03/28 1 1 0 0 0 0 0 0 0 0 0 0
12 2020/03/29 0 1 0 0 0 0 0 0 0 0 0 0
13 2020/03/30 1 2 0 0 0 0 0 0 0 0 0 0
14 2020/03/31 0 2 0 0 0 0 0 0 0 0 0 0
15 2020/04/01 0 2 0 0 0 0 0 0 0 0 0 0
16 2020/04/02 0 2 0 0 0 0 0 0 0 0 0 0
17 2020/04/03 0 2 0 0 0 0 0 0 0 0 0 0
18 2020/04/04 0 2 0 0 0 0 0 0 0 0 0 0
19 2020/04/05 0 2 0 0 0 0 0 0 0 0 0 0
20 2020/04/06 0 2 0 0 0 0 0 0 0 0 0 0
21 2020/04/07 0 2 0 0 0 0 0 0 0 0 0 0
22 2020/04/08 0 2 0 0 0 0 0 0 0 0 0 0
23 2020/04/09 0 2 0 0 0 0 0 0 0 0 0 0
24 2020/04/10 1 3 0 0 0 0 0 0 0 0 0 0
25 2020/04/11 0 3 0 0 0 0 0 0 0 0 0 0
26 2020/04/12 0 3 0 0 0 0 0 0 0 0 0 0
27 2020/04/13 0 3 0 0 0 0 0 0 0 0 0 0
28 2020/04/14 0 3 0 0 0 0 0 0 0 0 0 0
29 2020/04/15 0 3 0 0 0 0 0 0 0 0 0 0
30 2020/04/16 0 3 0 0 0 0 0 0 0 0 0 0
31 2020/04/17 0 3 0 0 0 0 0 0 0 0 0 0
32 2020/04/18 0 3 0 0 0 0 0 0 0 0 0 0
33 2020/04/19 0 3 0 0 0 0 0 0 0 0 0 0
34 2020/04/20 0 3 0 0 0 0 0 0 0 0 0 0
35 2020/04/21 0 3 0 0 0 0 0 0 0 0 0 0
36 2020/04/22 0 3 0 0 0 0 0 0 0 0 0 0
37 2020/04/23 0 3 0 0 0 0 0 0 0 0 0 0
38 2020/04/24 1 4 0 0 0 0 0 0 0 0 0 0
39 2020/04/25 0 4 0 0 0 0 0 0 0 0 0 0
40 2020/04/26 0 4 0 0 0 0 0 0 0 0 0 0
41 2020/04/27 0 4 0 0 0 0 0 0 0 0 0 0
42 2020/04/28 0 4 0 0 0 0 0 0 0 0 0 0
43 2020/04/29 0 4 0 0 0 0 0 0 0 0 0 0
44 2020/04/30 0 4 0 0 0 0 0 0 0 0 0 0
45 2020/05/01 0 4 0 0 0 0 0 0 0 0 0 0
46 2020/05/02 1 5 0 0 0 0 0 0 0 0 0 0
47 2020/05/03 0 5 0 0 0 0 0 0 0 0 0 0
48 2020/05/04 0 4 0 0 1 0 0 0 0 0 0 0
49 2020/05/05 0 3 0 0 1 0 0 0 0 0 0 0
50 2020/05/06 0 3 0 0 0 0 0 0 0 0 0 0
51 2020/05/07 2 5 0 0 0 0 0 0 0 0 0 0
52 2020/05/08 1 6 0 0 0 0 0 0 0 0 0 0
53 2020/05/09 0 6 0 0 0 0 0 0 0 0 0 0
54 2020/05/10 0 6 0 0 0 0 0 0 0 0 0 0
55 2020/05/11 0 6 0 0 0 0 0 0 0 0 0 0
56 2020/05/12 0 6 0 0 0 0 0 0 0 0 0 0
57 2020/05/13 0 6 0 0 0 0 0 0 0 0 0 0
58 2020/05/14 2 8 0 0 0 0 0 0 0 0 0 0
59 2020/05/15 1 9 0 0 0 0 0 0 0 0 0 0
60 2020/05/16 0 9 0 0 0 0 0 0 0 0 0 0
61 2020/05/17 0 9 0 0 0 0 0 0 0 0 0 0
62 2020/05/18 2 11 0 0 0 0 0 0 0 0 0 0
63 2020/05/19 1 12 0 0 0 0 0 0 0 0 0 0
64 2020/05/20 0 12 0 0 0 0 0 0 0 0 0 0
65 2020/05/21 0 12 0 0 0 0 0 0 0 0 0 0
66 2020/05/22 0 12 0 0 0 0 0 0 0 0 0 0
67 2020/05/23 0 12 0 0 0 0 0 0 0 0 0 0
68 2020/05/24 0 12 0 0 0 0 0 0 0 0 0 0
69 2020/05/25 0 12 0 0 0 0 0 0 0 0 0 0
70 2020/05/26 0 12 0 0 0 0 0 0 47 0 0 0
71 2020/05/27 2 14 0 0 0 0 0 0 47 0 0 0
72 2020/05/28 0 14 0 0 0 0 0 0 47 0 0 0
73 2020/05/29 0 14 0 0 0 0 0 0 47 0 0 0
74 2020/05/30 2 16 0 0 0 0 0 0 47 0 0 0
75 2020/05/31 0 16 0 0 0 0 0 0 47 0 0 0
76 2020/06/01 0 16 0 0 0 0 0 0 47 0 0 0
77 2020/06/02 0 16 0 0 0 0 0 0 47 0 0 0
78 2020/06/03 0 16 0 0 0 0 0 0 47 0 0 0
79 2020/06/04 0 16 0 0 0 0 0 0 47 0 0 0
80 2020/06/05 0 16 0 0 0 0 0 0 47 0 0 0
81 2020/06/06 0 16 0 0 0 0 0 0 47 0 0 0
82 2020/06/07 0 16 0 0 0 0 0 0 47 0 0 0
83 2020/06/08 1 17 0 0 0 0 0 0 47 0 0 0
84 2020/06/09 2 19 0 0 0 1 0 1 47 0 0 0
85 2020/06/10 2 21 0 0 0 1 0 1 47 0 0 0
86 2020/06/11 0 21 0 0 0 1 0 1 47 0 0 0
87 2020/06/12 0 21 0 0 0 1 0 1 47 0 0 0
88 2020/06/13 0 21 0 0 0 1 0 1 47 0 0 0
89 2020/06/14 0 21 0 0 0 1 0 1 47 0 0 0
90 2020/06/15 0 21 0 0 0 1 0 1 47 0 0 0
91 2020/06/16 9 30 0 0 0 1 0 1 47 0 0 0
92 2020/06/17 1 31 0 0 0 1 0 1 47 0 0 0
93 2020/06/18 4 35 0 0 0 1 0 1 47 0 0 0
94 2020/06/19 5 40 0 0 0 0 0 0 47 0 0 0
95 2020/06/20 0 40 0 0 0 0 0 0 47 0 0 0
96 2020/06/21 0 40 0 0 0 0 0 0 47 0 0 0
97 2020/06/22 0 40 0 0 0 0 0 0 47 0 0 0
98 2020/06/23 7 47 0 0 0 0 0 0 47 0 0 0
99 2020/06/24 7 54 0 0 0 0 0 0 47 0 0 0
100 2020/06/25 6 60 0 0 0 0 0 0 47 0 0 0
101 2020/06/26 13 73 0 0 0 0 1 1 47 0 0 0
102 2020/06/27 7 80 0 0 0 0 1 1 47 0 0 0
103 2020/06/28 5 85 0 0 0 0 1 1 47 0 0 0
104 2020/06/29 8 93 0 0 0 0 0 0 47 0 0 0
105 2020/06/30 12 105 0 0 0 0 0 0 47 0 0 0
106 2020/07/01 5 110 0 0 0 0 0 0 47 0 0 0
107 2020/07/02 4 114 0 0 0 0 1 1 47 0 0 0
108 2020/07/03 8 122 0 0 0 0 1 1 47 0 0 0
109 2020/07/04 6 128 0 0 0 0 1 1 47 0 0 0
110 2020/07/05 1 129 0 0 0 0 1 1 47 0 0 0
111 2020/07/06 0 129 0 0 0 0 1 1 47 0 0 0
112 2020/07/07 16 145 0 0 0 0 1 1 47 0 0 0
113 2020/07/08 1 146 0 0 0 0 1 1 47 0 0 0
114 2020/07/09 4 150 0 0 0 0 0 0 47 0 0 0
115 2020/07/10 7 157 0 0 0 0 0 0 47 0 0 0
116 2020/07/11 4 161 0 0 0 0 1 1 47 0 0 0
117 2020/07/12 5 166 0 0 0 0 1 1 47 0 0 0
118 2020/07/13 2 168 0 0 0 0 0 0 47 0 0 0
119 2020/07/14 9 177 0 0 0 0 0 0 47 0 0 0
120 2020/07/15 7 184 0 0 0 0 0 0 47 0 0 0
121 2020/07/16 6 190 0 0 0 0 1 1 47 0 0 0
122 2020/07/17 13 203 0 0 0 0 1 1 47 0 0 0
123 2020/07/18 9 212 0 0 0 0 1 1 47 0 0 0
124 2020/07/19 3 215 0 0 0 0 1 1 47 0 0 0
125 2020/07/20 10 225 0 0 0 0 1 1 47 0 0 0
126 2020/07/21 4 229 0 0 0 0 2 2 47 0 0 0
127 2020/07/22 7 236 0 0 0 0 0 0 0 0 0 0
128 2020/07/23 10 246 1 1 0 0 2 2 47 0 0 0
129 2020/07/24 5 251 1 0 0 0 2 2 47 0 0 0
130 2020/07/25 9 260 1 0 0 0 2 2 47 0 0 0
131 2020/07/26 5 265 1 0 0 0 2 2 47 0 0 0
132 2020/07/27 12 277 1 0 0 0 2 2 47 0 0 0
133 2020/07/28 12 289 1 0 0 0 2 2 47 0 0 0
134 2020/07/29 5 294 1 0 0 0 2 2 47 0 0 0
135 2020/07/30 3 297 1 0 0 0 2 2 47 0 0 0
136 2020/07/31 7 304 1 0 0 0 2 2 47 0 0 0
137 2020/08/01 7 311 1 0 0 0 2 2 47 0 0 0
138 2020/08/02 4 315 1 0 0 0 2 2 47 0 0 0
139 2020/08/03 1 316 1 0 0 0 2 2 47 0 0 0
140 2020/08/04 9 325 2 1 0 0 2 2 47 0 0 0
141 2020/08/05 5 330 3 1 0 0 2 2 47 0 0 0
142 2020/08/06 2 332 3 0 0 0 2 2 47 0 0 0
143 2020/08/07 7 339 3 0 0 0 2 2 47 0 0 0
144 2020/08/08 5 344 3 0 0 0 2 2 47 0 0 0
145 2020/08/09 10 354 3 0 0 0 2 2 47 0 0 0
146 2020/08/10 27 381 3 0 0 0 2 2 47 0 0 0
147 2020/08/11 0 380 3 0 1 0 2 2 47 0 0 0
148 2020/08/12 8 388 3 0 0 0 2 2 47 0 0 0
149 2020/08/13 4 392 3 0 0 0 2 2 47 0 0 0
150 2020/08/14 3 395 3 0 0 0 2 2 47 0 0 0
151 2020/08/15 3 398 3 0 0 0 2 2 47 0 0 0
152 2020/08/16 2 400 3 0 0 0 2 2 47 0 0 0
153 2020/08/17 2 402 3 0 0 0 2 2 47 0 0 0
154 2020/08/18 5 407 3 0 0 0 2 2 47 0 0 0
155 2020/08/19 7 414 3 0 0 0 2 2 47 0 0 0
156 2020/08/20 0 414 3 0 0 0 2 2 47 0 0 0
157 2020/08/21 4 418 3 0 0 0 2 2 47 0 0 0
158 2020/08/22 3 421 3 0 0 0 2 2 47 0 0 0
159 2020/08/23 0 421 3 0 0 0 2 2 47 0 0 0
160 2020/08/24 0 421 3 0 0 0 2 2 47 0 0 0
161 2020/08/25 8 429 3 0 0 0 2 2 47 0 0 0
162 2020/08/26 0 429 3 0 0 0 2 2 47 0 0 0
163 2020/08/27 0 429 3 0 0 0 2 2 47 0 0 0
164 2020/08/28 0 429 3 0 0 0 0 0 47 0 0 0
165 2020/08/29 8 437 3 0 0 0 0 0 47 0 0 0
166 2020/08/30 0 437 3 0 0 0 0 0 47 0 0 0
167 2020/08/31 0 437 3 0 0 0 0 0 47 0 0 0
168 2020/09/01 12 449 3 0 0 0 0 0 47 0 0 0
169 2020/09/02 8 457 3 0 0 0 0 0 47 0 0 0
170 2020/09/03 3 460 3 0 0 0 0 0 47 0 0 0
171 2020/09/04 3 463 3 0 0 0 0 0 47 0 0 0
172 2020/09/05 11 474 3 0 0 0 0 0 47 0 0 0
173 2020/09/06 0 474 3 0 0 0 0 0 47 0 0 0
174 2020/09/07 14 488 3 0 0 0 0 0 47 0 0 0
175 2020/09/08 4 492 3 0 0 0 0 0 47 0 0 0
176 2020/09/09 16 508 3 0 0 0 0 0 47 0 0 0
177 2020/09/10 3 511 3 0 0 0 0 0 47 0 0 0
178 2020/09/11 4 515 3 0 0 0 0 0 47 0 0 0
179 2020/09/12 2 517 3 0 0 0 0 0 47 0 0 0
180 2020/09/13 0 517 3 0 0 0 0 0 47 0 0 0
181 2020/09/14 4 521 3 0 0 0 0 0 47 0 0 0
182 2020/09/15 10 531 3 0 0 0 0 0 47 0 0 0
183 2020/09/16 8 539 3 0 0 0 0 0 47 0 0 0
184 2020/09/17 2 541 3 0 0 0 0 0 47 0 0 0
185 2020/09/18 0 541 3 0 0 0 0 0 47 0 0 0
186 2020/09/19 6 547 3 0 0 0 0 0 47 0 0 0
187 2020/09/20 3 550 3 0 0 0 0 0 47 0 0 0
